# This file is generated from data from 
# http://www.viewfinderpanoramas.org/ (Alps)  and
# http://www.alpin-koordinaten.de/    (Nepal)
#
# local additions
#
loc_1,PARSEIERSPITZE,,47.174257,10.478691,3036
#
# Thu Feb 26 12:00:46 CET 2009
# and is included in the gipfel tarball with the kind permission of
# Jonathan de Ferranti and www.alpin-koordinaten.de
#
# Nepal peaks from http://www.alpin-koordinaten.de
#
AT,Albrechtsberg an der Grossen Krems,,48.450000,15.366700,,
AT,Albrechtsberg an der Pielach,,48.211390,15.393800,,
AT,Albrechtschlag,,48.447800,14.308100,,
AT,Aldrans,,47.250000,11.449990,,
AT,Alexenau,,47.866700,13.566690,,
AT,Alharting,,48.286200,14.243900,,
AT,Alkersdorf,,47.886900,16.096700,,
AT,Alkersdorf,,47.934100,13.511100,,
AT,Alkoven,,48.287500,14.107500,,
AT,Alkus,,46.876590,12.694900,,
AT,Alland,,48.058300,16.079000,,
AT,Allentsteig,,48.697190,15.327600,,
AT,Allerding,,48.410190,13.486290,,
AT,Allerheiligen bei Wildon,,46.914190,15.554390,,
AT,Allerheiligen im Muehlkreis,,48.302190,14.650600,,
AT,Allersgraben,,47.316690,16.316690,,
AT,Allhaming,,48.152490,14.170200,,
AT,Allhartsberg,,48.026300,14.790100,,
AT,Allhut,,48.566700,14.366700,,
AT,Alm,,47.405800,12.901200,,
AT,Alm,,47.766700,13.199990,,
AT,Almdorf,,47.408500,12.873100,,
AT,Almen,,47.591300,11.987690,,
AT,Almersberg,,48.207400,15.924200,,
AT,Almesberg,,48.374090,14.433790,,
AT,Alpbach,,47.398790,11.943690,,
AT,Alpen,,46.671590,14.035300,,
AT,Alpfahrt,,47.433300,13.266690,,
AT,Alpl,,47.683300,15.566690,,
AT,Altach,,47.349990,9.650001,,
AT,Altaist,,48.316990,14.527200,,
AT,Altaussee,,47.638390,13.762800,,
AT,Altenbach,,46.667400,15.341900,,
AT,Altenberg,,48.338190,16.231400,,
AT,Altenberg bei Leibnitz,,46.799990,15.483300,,
AT,Altenberg bei Linz,,48.372790,14.350300,,
AT,Altenburg,,48.266300,14.694390,,
AT,Altenburg,,48.633290,15.583300,,
AT,Altendorf,,46.833290,14.816690,,
AT,Altendorf,,47.250000,14.883300,,
AT,Altendorf,,48.046900,15.314200,,
AT,Altendorf,,48.480600,13.616600,,
AT,Altenfelden,,48.485600,13.969790,,
AT,Altenhof,,48.091700,15.021700,,
AT,Altenhof,,48.500000,13.783300,,
AT,Altenhof,,48.549990,15.683300,,
AT,Altenhof am Hausruck,,48.133290,13.683300,,
AT,Altenmarkt,,46.700000,14.716690,,
AT,Altenmarkt,,46.849990,14.166700,,
AT,Altenmarkt an der Triesting,,48.015490,15.996590,,
AT,Altenmarkt bei Riegersburg,,47.000000,15.916690,,
AT,Altenmarkt bei Sankt Gallen,,47.716700,14.633300,,
AT,Altenmarkt im Pongau,,47.383300,13.416690,,
AT,Altenmarkt im Thale,,48.583300,16.200000,,
AT,Altensam,,48.049990,13.699990,,
AT,Altenschlag,,48.536490,14.165700,,
AT,Altenwoerth,,48.383300,15.850000,,
AT,Altersberg,,46.860300,13.491700,,
AT,Altfinkenstein,,46.545800,13.905790,,
AT,Altglandorf,,46.753890,14.381700,,
AT,Althaus,,46.750000,13.383300,,
AT,Altheim,,48.251490,13.234090,,
AT,Althellmonsoedt,,48.429000,14.307700,,
AT,Althodis,,47.314190,16.376790,,
AT,Althoeflein,,48.633290,16.733300,,
AT,Althofen,,46.872990,14.474490,,
AT,Althofen,,47.149990,14.233300,,
AT,Altlassing,,47.533290,14.266690,,
AT,Altlengbach,,48.153490,15.926090,,
AT,Altlichtenberg,,48.360000,14.258500,,
AT,Altlichtenwarth,,48.633290,16.799990,,
